City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Albany,42.6,-73.97,69.01,69,75,1.81,US,1600357332
Qui Nhon,13.77,109.23,76.24,84,100,13.53,VN,1600357344
Nishihara,26.18,127.76,82.4,100,75,8.05,JP,1600357394
Shar,49.59,81.05,59.05,51,100,23.82,KZ,1600357395
Provideniya,64.38,-173.3,43.12,89,83,7.23,RU,1600357396
Torbay,47.67,-52.73,66.0,63,75,29.97,CA,1600357396
Aklavik,68.22,-135.01,35.6,100,75,4.7,CA,1600357397
Vostok,46.49,135.88,49.41,99,20,3.94,RU,1600357397
Cape Town,-33.93,18.42,66.0,59,2,6.89,ZA,1600357207
Quatre Cocos,-20.21,57.76,72.0,68,75,11.41,MU,1600357398
Qaanaaq,77.48,-69.36,20.39,81,0,9.62,GL,1600357398
Buraidah,26.33,43.98,100.4,14,0,9.17,SA,1600357398
Mataura,-46.19,168.86,39.99,86,38,8.01,NZ,1600357399
Port Alfred,-33.59,26.89,61.5,68,0,6.91,ZA,1600357151
Arraial do Cabo,-22.97,-42.03,84.2,58,2,19.46,BR,1600356807
Berlevåg,70.86,29.09,46.4,70,40,10.29,NO,1600356808
Katangli,51.71,143.23,56.68,96,100,2.98,RU,1600356809
Katsuura,35.13,140.3,81.0,88,75,11.41,JP,1600356809
Kupang,-10.17,123.58,74.79,83,15,6.64,ID,1600356811
Upernavik,72.79,-56.15,34.81,84,100,2.82,GL,1600356811
Rikitea,-23.12,-134.97,72.12,81,93,23.44,PF,1600357151
Hithadhoo,-0.6,73.08,82.98,78,93,11.81,MV,1600357186
Dudinka,69.41,86.18,53.6,66,96,17.9,RU,1600357186
Dicabisagan,17.08,122.42,79.57,82,9,8.19,PH,1600357114
Sola,-13.88,167.55,82.4,78,75,11.41,VU,1600357186
Kapaa,22.08,-159.32,80.6,69,40,9.17,US,1600357187
Shelburne,44.08,-80.2,59.0,71,75,10.29,CA,1600357187
Butaritari,3.07,172.79,82.02,79,8,16.15,KI,1600357188
Rosamorada,22.12,-105.21,85.64,72,86,0.63,MX,1600357188
Blagoyevo,63.37,47.92,43.47,71,100,3.6,RU,1600357188
Lillooet,50.69,-121.94,55.4,93,1,2.24,CA,1600357188
Agirish,61.92,63.02,47.05,73,99,9.66,RU,1600357189
Eydhafushi,5.1,73.07,82.9,75,17,9.84,MV,1600357189
Moose Jaw,50.4,-105.53,55.4,50,20,11.41,CA,1600357082
Wanning,18.8,110.4,82.47,88,100,18.01,CN,1600357190
Vao,-22.67,167.48,70.52,85,0,14.03,NC,1600357190
Narsaq,60.92,-46.05,44.6,70,75,1.12,GL,1600357190
Aitape,-3.14,142.35,77.61,86,60,4.09,PG,1600357191
Bathsheba,13.22,-59.52,89.6,59,40,10.29,BB,1600357192
Great Yarmouth,52.61,1.73,64.99,65,29,5.99,GB,1600357049
Morón,-34.65,-58.62,72.0,35,0,11.41,AR,1600357167
Nabire,-3.37,135.48,75.52,88,100,3.67,ID,1600357195
Taoudenni,22.68,-3.98,104.52,9,4,12.17,ML,1600357193
Jamestown,42.1,-79.24,63.0,87,90,4.7,US,1600356994
Mazamari,-11.33,-74.53,90.16,35,51,1.03,PE,1600357197
East London,-33.02,27.91,64.4,59,0,8.05,ZA,1600357151
Cockburn Town,21.46,-71.14,83.57,78,77,13.6,TC,1600357200
Thompson,55.74,-97.86,35.6,64,20,8.05,CA,1600357159
Saldanha,-33.01,17.94,58.53,72,3,13.2,ZA,1600357202
Bluff,-46.6,168.33,39.99,86,45,8.99,NZ,1600357203
Ahipara,-35.17,173.17,57.63,76,100,12.86,NZ,1600357204
Bambous Virieux,-20.34,57.76,72.0,68,75,11.41,MU,1600357205
Chui,-33.7,-53.46,66.31,60,0,6.49,UY,1600357205
Mareeba,-17.0,145.43,73.4,88,90,9.17,AU,1600357209
Airai,-8.93,125.41,58.55,100,58,1.41,TL,1600357209
Lebu,-37.62,-73.65,53.6,80,85,10.42,CL,1600357209
Itaituba,-4.28,-55.98,93.2,56,40,4.07,BR,1600357209
Kaitangata,-46.28,169.85,39.99,71,0,8.01,NZ,1600357210
Paro,27.43,89.41,62.44,70,93,1.99,BT,1600357210
Lages,-27.82,-50.33,67.62,83,100,5.59,BR,1600357210
Celestún,20.87,-90.4,87.19,66,100,8.46,MX,1600357211
Mount Isa,-20.73,139.5,69.8,40,7,6.89,AU,1600357211
Norman Wells,65.28,-126.83,37.4,100,40,2.24,CA,1600357211
Korāput,18.82,82.72,73.51,93,23,5.37,IN,1600357211
Mondeville,49.17,-0.32,69.8,60,0,13.87,FR,1600357212
Muscatine,41.47,-91.13,63.0,82,1,9.17,US,1600357148
Puerto Ayora,-0.74,-90.35,68.0,87,100,8.99,EC,1600356921
Borogontsy,62.67,131.17,39.96,78,0,1.99,RU,1600357212
Harper,4.38,-7.72,75.79,85,95,11.43,LR,1600357213
Bengkulu,-3.8,102.27,76.24,87,7,4.59,ID,1600357213
Hithadhoo,-0.6,73.08,82.98,78,93,11.81,MV,1600357186
Yellowknife,62.46,-114.35,41.0,93,20,4.7,CA,1600357214
Shakiso,5.75,38.92,62.89,81,63,2.37,ET,1600357214
Gairo,39.85,9.5,82.4,61,40,9.17,IT,1600357214
Ulladulla,-35.35,150.47,57.0,100,90,3.36,AU,1600357214
Monrovia,6.3,-10.8,86.0,70,75,11.41,LR,1600357105
Kaka,37.35,59.61,64.85,35,0,3.74,TM,1600357422
Eirunepé,-6.66,-69.87,102.22,32,64,0.98,BR,1600357134
Antofagasta,-23.65,-70.4,57.2,76,40,9.17,CL,1600357332
Iqaluit,63.75,-68.51,37.4,76,75,5.82,CA,1600357273
Taltal,-25.4,-70.48,63.59,53,19,6.24,CL,1600357423
George Town,5.41,100.34,80.6,94,40,2.24,MY,1600357360
Sevsk,52.15,34.49,68.32,54,74,18.75,RU,1600357424
Akdepe,42.06,59.38,64.4,31,0,4.7,TM,1600357424
Karla,59.37,24.93,51.8,71,90,18.34,EE,1600357425
Yangi Marg`ilon,40.43,71.72,71.6,30,34,16.11,UZ,1600357425
Port-Cartier,50.03,-66.87,48.99,48,20,14.99,CA,1600357426
Fujin,47.26,132.03,52.74,87,47,2.64,CN,1600357427
Ribeira Grande,38.52,-28.7,71.6,64,20,11.41,PT,1600357162
Yārāda,17.65,83.27,84.2,83,75,2.24,IN,1600357141
Carnarvon,-24.87,113.63,66.2,82,0,11.41,AU,1600357425
Mar del Plata,-38.0,-57.56,68.0,42,35,23.04,AR,1600357164
Maceió,-9.67,-35.74,82.4,61,75,10.29,BR,1600357429
Chicama,-7.84,-79.15,70.57,58,48,9.37,PE,1600357430
Gravdal,68.12,13.5,50.0,76,75,10.29,NO,1600357430
Tuatapere,-46.13,167.68,39.99,86,40,8.99,NZ,1600357204
Hurricane,37.18,-113.29,73.99,16,1,3.36,US,1600357141
Puyo,-1.47,-77.98,78.8,65,40,2.86,EC,1600357431
Chokurdakh,70.63,147.92,41.63,92,100,9.33,RU,1600357431
Morgan City,29.7,-91.21,81.0,83,20,4.7,US,1600357432
Kuril'sk,45.23,147.88,62.17,92,100,12.26,RU,1600357432
San Cristobal,7.77,-72.22,84.2,66,20,6.93,VE,1600357433
Calvinia,-31.47,19.78,67.62,24,42,5.44,ZA,1600357434
Saint Paul Harbor,57.79,-152.41,51.8,71,1,8.05,US,1600357202
Pacific Grove,36.62,-121.92,60.01,78,40,3.36,US,1600357434
Ancud,-41.87,-73.82,54.0,65,100,5.01,CL,1600357135
Tuktoyaktuk,69.45,-133.04,37.4,93,20,6.93,CA,1600357216
Saskylakh,71.92,114.08,48.79,79,1,8.55,RU,1600357435
Dunedin,-45.87,170.5,42.01,69,0,8.99,NZ,1600357170
Zilair,52.23,57.44,43.92,88,93,8.55,RU,1600357436
San Fernando,15.03,120.69,77.0,94,75,4.7,PH,1600357436
Yulara,-25.24,130.99,60.69,82,84,10.25,AU,1600357211
Zyryanka,65.75,150.85,39.47,86,90,6.91,RU,1600357436
Zhangaözen,43.3,52.8,62.2,30,0,7.36,KZ,1600357437
Maragogi,-9.01,-35.22,78.71,67,8,11.7,BR,1600357437
Guanaja,16.4,-85.9,86.0,79,20,5.82,HN,1600357438
Gawler,-34.6,138.73,64.99,67,100,18.01,AU,1600357438
Faanui,-16.48,-151.75,77.72,79,0,14.12,PF,1600357438
Tual,-5.67,132.75,79.72,85,96,14.88,ID,1600357439
Dingle,11.0,122.67,75.29,90,100,3.91,PH,1600357439
Araouane,18.9,-3.53,105.57,15,26,8.84,ML,1600357440
Naze,28.37,129.48,82.4,94,75,6.93,JP,1600357440
Sinnamary,5.38,-52.95,83.89,79,83,12.68,GF,1600357440
Barranca,-10.75,-77.77,65.7,67,75,7.45,PE,1600357440
Khani,41.96,42.96,78.8,47,2,28.86,GE,1600357441
Oranjemund,-28.55,16.43,60.93,67,8,14.2,NA,1600357441
Karoi,-16.81,29.69,81.3,22,79,5.46,ZW,1600357442
Kodinsk,58.69,99.18,51.64,68,99,5.99,RU,1600357442
Tromsø,69.65,18.96,48.2,66,75,18.34,NO,1600357442
Alihe,50.57,123.72,50.86,93,100,5.32,CN,1600357443
Hasaki,35.73,140.83,77.0,94,75,8.05,JP,1600357443
Touros,-5.2,-35.46,84.2,58,40,13.87,BR,1600357443
Hong Kong,22.29,114.16,82.99,91,81,1.99,HK,1600357224
Boyolangu,-8.12,111.89,73.38,89,87,2.1,ID,1600357444
Praia,14.92,-23.51,83.48,71,60,5.88,CV,1600357444
Long Beach,33.77,-118.19,70.0,77,1,0.96,US,1600357339
Cidreira,-30.18,-50.21,65.52,81,84,6.6,BR,1600357444
Luleå,65.58,22.15,50.0,57,82,5.82,SE,1600357445
Tiksi,71.69,128.87,47.8,76,100,16.15,RU,1600357445
Mount Abu,24.59,72.71,71.83,95,98,4.79,IN,1600357445
Saint George,37.1,-113.58,73.99,16,1,3.36,US,1600357411
Chapleau,47.84,-83.4,42.8,45,5,5.82,CA,1600357446
Okhotsk,59.38,143.3,46.72,70,0,5.17,RU,1600357446
Kashmor,28.43,69.58,96.62,35,33,10.58,PK,1600357446
Ca Mau,9.18,105.15,77.23,91,100,11.14,VN,1600357447
Skjervøy,70.03,20.97,48.2,76,75,9.17,NO,1600357447
Cayenne,4.93,-52.33,91.4,55,47,5.82,GF,1600357448
Khāsh,28.22,61.22,69.51,23,0,12.41,IR,1600357448
Kavieng,-2.57,150.8,82.49,78,71,10.33,PG,1600357448
Tamparan,7.88,124.33,68.52,87,93,2.53,PH,1600357449
Bethel,41.37,-73.41,70.0,72,1,9.17,US,1600357449
Inta,66.03,60.17,42.66,85,100,14.79,RU,1600357449
Sitka,57.05,-135.33,46.4,87,40,5.82,US,1600357353
Salalah,17.02,54.09,82.4,83,75,9.17,OM,1600357187
Chiredzi,-21.05,31.67,88.99,29,0,10.42,ZW,1600357450
Sur,22.57,59.53,81.82,70,6,2.86,OM,1600357450
Amapá,1.0,-52.0,94.06,40,10,5.32,BR,1600357450
Cherskiy,68.75,161.3,35.8,95,100,8.55,RU,1600357199
Guerrero Negro,27.98,-114.06,84.11,41,28,1.57,MX,1600357452
Pemangkat,1.17,108.97,79.32,82,60,9.55,ID,1600357452
Iwanai,42.97,140.51,66.63,91,100,5.86,JP,1600357452
Novobirilyussy,56.95,90.67,58.57,78,100,5.32,RU,1600357453
Kashan,33.98,51.44,76.59,20,0,5.95,IR,1600357428
Tasiilaq,65.61,-37.64,41.0,80,20,6.93,GL,1600357453
Plettenberg Bay,-34.05,23.37,58.35,64,0,4.76,ZA,1600357453
Comodoro Rivadavia,-45.87,-67.5,59.0,22,40,34.45,AR,1600357453
La Rioja,42.25,-2.5,84.2,32,71,10.29,ES,1600357457
Leshukonskoye,64.9,45.76,41.22,80,100,6.11,RU,1600357457
Pisco,-13.7,-76.22,61.0,87,90,6.93,PE,1600357457
Silifke,36.38,33.93,81.0,66,0,6.31,TR,1600357458
Vanimo,-2.67,141.3,77.41,87,82,4.74,PG,1600357458
Dikson,73.51,80.55,46.56,86,96,11.61,RU,1600357458
Bandundu Province,-3.32,17.37,78.87,76,98,8.32,CD,1600357458
Hauknes,66.28,14.07,48.0,93,75,3.8,NO,1600357459
Atambua,-9.11,124.89,70.86,90,44,2.59,ID,1600357459
Longyearbyen,78.22,15.64,33.8,86,90,12.75,SJ,1600357460
Diego de Almagro,-26.37,-70.05,82.89,13,0,9.55,CL,1600357460
Abdulino,53.7,53.67,47.73,71,82,3.29,RU,1600357460
Divnomorskoye,44.5,38.14,71.01,72,0,4.99,RU,1600357460
Alofi,-19.06,-169.92,71.6,94,92,18.34,NU,1600357461
Khatanga,71.97,102.5,47.95,79,20,5.1,RU,1600357461
Hinesville,31.85,-81.6,84.0,78,40,10.29,US,1600357284
Castro,-24.79,-50.01,77.32,52,89,9.69,BR,1600357461
Kaduna,10.52,7.44,81.07,69,88,5.37,NG,1600357461
Kenora,49.82,-94.43,42.8,52,40,4.7,CA,1600357412
Constitución,-35.33,-72.42,61.88,63,0,15.46,CL,1600357463
Avarua,-21.21,-159.78,69.8,68,78,4.7,CK,1600357463
Toora-Khem,52.47,96.11,47.5,72,14,2.59,RU,1600357463
Thinadhoo,0.53,72.93,83.03,76,47,11.48,MV,1600357463
Port Elizabeth,-33.92,25.57,62.6,63,0,10.29,ZA,1600357464
Makkah al Mukarramah,21.43,39.83,92.68,28,53,4.61,SA,1600357464
Tessaoua,13.76,7.99,88.14,43,62,4.32,NE,1600357464
Baiyin,36.56,104.21,64.0,87,0,6.71,CN,1600357464
Mariinsk,56.21,87.75,56.66,91,95,7.0,RU,1600357465
Fortuna,40.6,-124.16,66.0,100,90,5.82,US,1600357465
Yar-Sale,66.83,70.83,47.26,87,100,7.45,RU,1600357465
Iranshahr,27.2,60.68,93.2,7,0,9.17,IR,1600357467
Cap Malheureux,-19.98,57.61,72.0,69,38,3.0,MU,1600357467
Zhicheng,30.3,111.5,66.99,84,73,3.0,CN,1600357467
Lander,42.83,-108.73,66.0,50,1,3.36,US,1600357273
Kahului,20.89,-156.47,77.0,65,1,14.99,US,1600357219
Ulaangom,49.98,92.07,53.1,46,69,2.77,MN,1600357468
Lampitak,6.43,125.05,66.25,99,51,0.36,PH,1600357468
Sept-Îles,50.2,-66.38,48.99,50,20,14.99,CA,1600357303
Bratslav,48.82,28.94,82.0,68,40,13.42,UA,1600357469
Burgeo,47.62,-57.62,61.54,78,0,22.08,CA,1600357469
Baruun-Urt,46.68,113.28,45.18,69,18,6.98,MN,1600357470
São Filipe,14.9,-24.5,81.77,77,75,5.48,CV,1600357470
Hay River,60.82,-115.8,37.4,93,75,6.93,CA,1600357471
Selishche,56.89,33.27,47.35,89,98,6.69,RU,1600357471
Marovoay,-16.1,46.63,78.8,61,12,6.93,MG,1600357472
Anloga,5.79,0.9,84.2,70,20,13.87,GH,1600357472
Wahiawā,21.5,-158.02,78.01,88,75,5.82,US,1600357473
Pevek,69.7,170.31,34.21,95,93,11.07,RU,1600357473
Tabou,4.42,-7.35,75.33,86,98,11.39,CI,1600357473
San Policarpo,12.18,125.51,77.76,82,100,4.03,PH,1600357473
Odesskoye,54.21,72.97,46.69,79,29,3.76,RU,1600357474
Durango,24.83,-104.83,66.79,64,50,5.17,MX,1600357407
Abu Kamal,34.45,40.92,95.4,13,0,6.82,SY,1600357474
Washougal,45.58,-122.35,59.0,100,90,3.36,US,1600357410
Nisibis,37.08,41.22,100.4,11,0,6.93,TR,1600357475
Urucará,-2.54,-57.76,99.34,33,19,3.4,BR,1600357475
Russellville,35.28,-93.13,75.2,73,1,5.82,US,1600357475
Porto-Novo,6.5,2.6,82.4,78,40,9.17,BJ,1600357476
Urmia,37.55,45.08,73.4,53,0,2.24,IR,1600357476
Bull Savanna,17.89,-77.59,84.52,66,14,11.32,JM,1600357477
Hong Kong,22.29,114.16,82.99,91,81,1.99,HK,1600357224
Srīvardhan,18.03,73.02,80.78,85,100,6.58,IN,1600357477
Victoria Point,-27.58,153.3,63.0,81,1,1.03,AU,1600357478
Salinas,36.68,-121.66,60.01,87,1,4.7,US,1600357407
Angoche,-16.23,39.91,76.35,78,58,13.76,MZ,1600357478
Fare,-16.7,-151.02,78.55,78,2,15.19,PF,1600357478
Howard Springs,-12.5,131.05,82.4,69,90,5.82,AU,1600357479
Bandarbeyla,9.49,50.81,76.93,82,5,34.81,SO,1600357479
Hilton Head,32.22,-80.75,86.0,79,75,17.22,US,1600357479
Vanavara,60.34,102.28,46.06,72,55,5.3,RU,1600357479
Camocim,-2.9,-40.84,92.82,40,0,14.23,BR,1600357480
Bobrov,51.1,40.03,65.52,34,0,10.74,RU,1600357481
Furano,43.28,142.47,61.14,96,100,4.0,JP,1600357481
Narasannapeta,18.42,84.05,82.0,84,82,4.27,IN,1600357482
Sistranda,63.73,8.83,51.8,62,75,8.05,NO,1600357215
Turgoyak,55.15,60.12,46.8,82,100,12.1,RU,1600357482
La Ronge,55.1,-105.28,44.6,81,20,2.73,CA,1600357482
Huarmey,-10.07,-78.15,66.04,67,63,8.01,PE,1600357483
Laas,46.62,10.7,73.99,56,40,3.36,IT,1600357483
Kloulklubed,7.04,134.26,77.0,94,75,4.7,PW,1600357483
Makushino,55.21,67.24,47.53,91,98,11.88,RU,1600357484
Esperance,-33.87,121.9,48.2,100,75,11.41,AU,1600357485
Port Lincoln,-34.73,135.87,58.64,87,100,20.58,AU,1600357206
Vardø,70.37,31.11,46.4,65,56,4.7,NO,1600357485
Mandapam,9.28,79.12,84.4,77,79,23.2,IN,1600357486
Saint-Philippe,-21.36,55.77,71.6,60,90,4.7,RE,1600357487
Omsukchan,62.53,155.8,33.75,91,100,4.07,RU,1600357487
Chaiya,9.39,99.2,77.0,100,75,4.7,TH,1600357489
Katherine,-14.47,132.27,84.2,51,42,12.75,AU,1600357490
Belyy Yar,53.6,91.39,53.6,87,95,2.24,RU,1600357490
Margate,51.38,1.39,64.99,48,0,10.0,GB,1600357491
Manadhoo,5.77,73.38,83.03,76,0,11.03,MV,1600357492
Irati,-25.47,-50.65,70.86,69,100,6.73,BR,1600357493
Farafangana,-22.82,47.83,70.81,79,0,13.78,MG,1600357494
Lagoa,39.05,-27.98,67.37,62,0,8.99,PT,1600357495
Los Llanos de Aridane,28.66,-17.92,80.6,57,20,6.93,ES,1600357495
Mahébourg,-20.41,57.7,71.6,68,75,11.41,MU,1600357495
Eureka,40.8,-124.16,64.0,100,83,0.92,US,1600357471
Minggang,32.46,114.05,62.89,89,25,5.1,CN,1600357496
Leningradskiy,69.38,178.42,33.42,94,100,17.09,RU,1600357497
Gizo Government Station,-8.1,156.84,81.68,81,100,19.55,SB,1600357497
Mahon,39.89,4.27,84.2,58,91,4.7,ES,1600357498
Mossamedes,-15.2,12.15,67.68,65,0,10.11,AO,1600357498
Turukhansk,65.82,87.98,50.88,90,94,10.4,RU,1600357216
Arman',59.7,150.17,40.84,71,0,8.5,RU,1600357498
Flinders,-34.58,150.86,60.01,79,98,1.01,AU,1600357499
Lavrentiya,65.58,-171.0,40.1,90,16,7.14,RU,1600357210
Ribas do Rio Pardo,-20.44,-53.76,98.37,16,68,8.84,BR,1600357377
Portland,45.52,-122.68,60.01,100,90,3.36,US,1600357204
San Andrés,12.58,-81.7,80.6,88,40,2.24,CO,1600357503
Mogadouro,41.34,-6.71,73.0,60,100,8.99,PT,1600357504
Muroran,42.32,140.99,68.59,92,100,0.92,JP,1600357504
Anlu,31.17,112.58,62.08,81,34,5.06,CN,1600357505
Oranjestad,12.52,-70.03,91.4,63,40,16.11,AW,1600357505
Saint-Pierre,-21.34,55.48,71.6,60,90,4.7,RE,1600357506
Senador José Porfírio,-2.59,-51.95,95.34,43,0,2.04,BR,1600357506
Souillac,-20.52,57.52,71.6,68,75,11.41,MU,1600357507
Njombe,-9.33,34.77,64.94,53,50,7.65,TZ,1600357507
Imeni Poliny Osipenko,52.42,136.49,47.84,95,100,16.55,RU,1600357507
Burlington,39.88,-74.64,75.0,88,90,3.36,US,1600357508
Mana,5.66,-53.78,84.99,74,97,6.85,GF,1600357508
Sabzawār,36.21,57.68,77.0,25,0,21.92,IR,1600357509
San Patricio,19.22,-104.7,80.6,83,75,2.91,MX,1600357510
Wukari,7.85,9.78,83.97,75,37,3.96,NG,1600357510
Banff,51.18,-115.57,55.99,76,56,5.99,CA,1600357510
Agapovka,53.3,59.13,48.2,76,75,13.42,RU,1600357511
Kumul,42.8,93.45,72.23,19,0,5.68,CN,1600357511
Layou,13.2,-61.27,84.2,79,75,3.8,VC,1600357511
Konstantinovka,49.62,127.98,54.64,93,99,0.69,RU,1600357511
Agadez,19.75,10.25,102.49,13,40,6.58,NE,1600357512
Auki,-8.77,160.7,77.54,88,100,2.51,SB,1600357513
Sarakhs,36.54,61.16,77.0,36,0,6.93,IR,1600357513
Raja,8.46,25.68,79.0,83,2,3.6,SS,1600357515
Yantal',56.85,105.25,46.31,82,45,2.37,RU,1600357515
Kitui,-1.37,38.01,73.94,49,0,11.61,KE,1600357516
Marsá Maţrūḩ,31.35,27.25,81.01,69,0,8.21,EG,1600357516
Oddur,4.12,43.89,85.82,37,20,16.6,SO,1600357517
Port Harcourt,4.78,7.01,87.8,66,75,4.7,NG,1600357517
Rørvik,64.86,11.24,50.0,71,75,10.29,NO,1600357517
Cuenca,-2.88,-78.98,59.0,82,75,3.36,EC,1600357518
Beringovskiy,63.05,179.32,44.06,82,99,10.42,RU,1600357518
Thetford Mines,46.09,-71.3,53.01,75,54,5.01,CA,1600357518
Padang,-0.95,100.35,78.3,77,100,3.89,ID,1600357518
Potsdam,52.4,13.07,66.99,43,0,8.68,DE,1600357493
Tondela,40.52,-8.08,84.0,45,46,10.09,PT,1600357519
Neiafu,-18.65,-173.98,73.4,83,75,10.29,TO,1600357520
Racine,42.75,-88.08,64.99,59,40,9.17,US,1600357521
Barsovo,61.17,73.17,46.4,100,100,4.47,RU,1600357521
Sampit,-2.53,112.95,75.47,89,24,2.75,ID,1600357522
Piotrków Trybunalski,51.41,19.7,62.01,41,0,8.77,PL,1600357522
Coyhaique,-45.58,-72.07,44.6,71,75,10.29,CL,1600357523
Pervomayskoye,43.92,46.71,62.65,58,0,12.8,RU,1600357523
Duluth,46.78,-92.11,51.01,37,1,4.7,US,1600357327
Clyde River,70.47,-68.59,37.4,74,75,6.93,CA,1600357523
Kiama,-34.68,150.87,60.01,85,99,5.03,AU,1600357523
Pimenta Bueno,-11.67,-61.19,112.78,11,51,2.24,BR,1600357307
Peto,20.13,-88.92,90.27,55,86,5.32,MX,1600357524
Ust'-Koksa,50.27,85.61,51.31,57,93,3.74,RU,1600357524
Kaset Sombun,16.28,101.95,79.25,82,100,2.68,TH,1600357525
Haimen,23.19,116.61,82.4,83,75,2.24,CN,1600357526
Keti Bandar,24.14,67.45,84.94,80,0,12.73,PK,1600357526
Geraldton,-28.77,114.6,50.0,71,0,9.17,AU,1600357526
Shebunino,46.43,141.86,62.96,93,40,6.85,RU,1600357527
Bundaberg,-24.85,152.35,62.01,93,10,8.05,AU,1600357528
Birjand,32.87,59.22,71.6,24,0,13.87,IR,1600357528
Vila Velha,-20.33,-40.29,84.2,54,20,12.75,BR,1600357528
Mikun',62.35,50.08,41.95,72,99,2.35,RU,1600357529
Rockhampton,-23.38,150.5,66.2,88,0,6.93,AU,1600357529
Kaeo,-35.1,173.78,53.01,3,66,1.01,NZ,1600357529
Lakhnādon,22.6,79.6,77.88,83,96,0.45,IN,1600357530
San Miguel de Cozumel,20.51,-86.95,89.6,66,40,9.17,MX,1600357374
Bac Lieu,9.29,105.72,78.15,85,100,20.36,VN,1600357530
Ibotirama,-12.19,-43.22,97.83,19,7,7.0,BR,1600357531
Bilibino,68.05,166.44,31.17,96,95,4.38,RU,1600357531
Kashgar,39.45,75.98,75.2,27,40,6.71,CN,1600357531
Martapura,-3.42,114.85,78.8,83,90,3.36,ID,1600357532
Goderich,43.75,-81.72,62.01,70,15,13.78,CA,1600357501
Carahue,-38.7,-73.17,51.8,100,90,6.93,CL,1600357532
Te Anau,-45.42,167.72,31.14,95,9,2.86,NZ,1600357418
Kapoeta,4.77,33.59,87.78,35,16,6.24,SS,1600357533
Sørland,67.67,12.69,50.0,76,75,25.28,NO,1600357534
Gao,16.64,1.64,91.54,39,95,14.85,ML,1600357534
Prudyanka,50.24,36.17,75.2,33,2,8.95,UA,1600357534
Gornopravdinsk,60.05,69.9,47.95,97,100,3.44,RU,1600357535
Upata,8.01,-62.4,88.57,57,19,2.73,VE,1600357536
Coahuayana Viejo,18.73,-103.68,75.2,50,40,0.54,MX,1600357536
Codrington,-38.27,141.97,46.08,80,100,9.42,AU,1600357536
Dalvik,65.97,-18.53,51.8,66,75,16.11,IS,1600357402
Mattawa,46.74,-119.9,53.6,93,90,4.03,US,1600357537
Buchanan,5.88,-10.05,86.0,70,75,11.41,LR,1600357537
Manyana,-23.4,21.72,80.44,14,0,5.3,BW,1600357537
Oyem,1.6,11.58,84.2,62,75,3.69,GA,1600357537
Vila Franca do Campo,37.72,-25.43,73.4,46,20,11.41,PT,1600357538
Makariv,50.46,29.81,66.99,77,100,17.9,UA,1600357538
Dāmghān,36.17,54.35,69.42,35,0,4.12,IR,1600357538
Requena,39.49,-1.1,82.0,38,64,1.99,ES,1600357539
Zwedru,6.07,-8.13,76.55,93,74,6.02,LR,1600357539
Sainte-Marie,-20.9,55.55,69.8,73,90,10.29,RE,1600357540
Lázaro Cárdenas,17.96,-102.2,83.26,74,45,1.28,MX,1600357541
Blackfoot,43.19,-112.34,66.0,57,1,4.7,US,1600357541
Āsosa,10.07,34.53,66.65,93,61,0.72,ET,1600357541
Dalnerechensk,45.93,133.72,55.45,92,32,7.81,RU,1600357541
Yei,4.09,30.68,73.0,89,62,2.21,SS,1600357542
Porto,41.15,-8.61,73.99,64,20,8.05,PT,1600357542
